INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
coronavirusrelationships[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusactiongroup[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-19us[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googleccovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googlecovid199[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-crash[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googlecomcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusimmunesystemsupport[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
hapuscovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ksbroadcasterscovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googlrcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
goolecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusearlydetection[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
miltoncovid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
help-covid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
adultcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
accuratecovid19tests[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruschemical[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscounting[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
agircovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronachinesevirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
juegaencasacovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscleaningcharlotte[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus19lawforbusiness[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscorrelations[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirushealthny[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusrapidtests[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusparent[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusconcern[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ru-coronavirus[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
kiemtienthoicovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusweek[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
kdcovid[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
contraelcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirussrbija[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nocovid-19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-hometreatment[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronovaviruscleaners[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
online-coronavirus[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
goglecovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronovirusbadactors[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
eshop-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
keolis-covid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googkecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
bestcovid19insurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
newscovid-19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googlcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruspubquiz[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-credit[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusbacktoreality[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googelcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusint[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googlocovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
givelovenotcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusveteran[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
gogolecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
goolgecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nzcovid[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googlwcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nocovid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-donate[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
map-coronavirus[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mapcoronavirus[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
bestmask-coronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusaumaroc[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
kickcoronavirusblues[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
bantaycovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
juiciocoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
killallababyboomerscovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
bestcoronaviruslawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscleanersnaples[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
goohlecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus15minutetest[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
bravecovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruspreventiongear[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
magyarcovid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
goiglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googleecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
magyarcovid[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
agir-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
thecovid[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-spiele[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusgrantassistance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusbed[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscleancrew[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus24horas[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruspandemicessentials[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusd19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
corona-virusproducts[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusbuddy[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruswarriors[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscamposdojordao[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19dentalppedonations[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusmaskcompany[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19families[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-newlifeinsurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-medicalsupplies[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19rnjobs[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusmarseille[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19pay[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-newstoday[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-mo[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusgirona[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19google[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusestimator[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
goglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19gov[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19investing[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19athomecare[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19innovation[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-book[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
gooflecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
agir-covid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
acureforcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
gc-or-covid-19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-treatement[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscalifornialawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusathomecare[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusphishing[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscaptivity[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusbycounty[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusimmunebooster[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
googllecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusquarantineporn[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
againstcovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
adultcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
kickcovid19blues[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19eg[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
graphscoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19homeworkoutprogramme[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19aprou[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
todocovid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
rechtsberatung-covid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruspregnant[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
employmentlaw-covid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirussurvivalism[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscanceledmyevent[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
kolhapurcovid19care[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
hijosdelcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-burkina[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-teste[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19sn[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusbarcelona[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19chicagolawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirustestinguk[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
howtohealcoronavirus[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
holacoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19insuranceonline[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirussettlementfund[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19couples[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusexperiences[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19goal[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19lr[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19era[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19n95[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19meteo[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19situation[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19petcare[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19seniorcare[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-facemasks[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusenews[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19recovery2020[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19masque[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19immediatelifeprotection[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-stayfit[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19supplydonation[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ggooglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-normality[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pulseactivecoronavirusinsurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
racecovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
preventcovid19bostonstudy[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
hopcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusfacemaskcompany[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
protectagainstcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19bed[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19sanitizing[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19review[.]com,FQDN,,DOMAIN WATCHLIST,,2020-03-27,TLP:WHITE ,
eucoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19screenings[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19screenings[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19problemsolvers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19ppenow[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
facemaskforcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19cbt[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19swag[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19sv[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19quarantineporn[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
quarantinechroniclescovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mexicovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
faqscoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19py[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
movilizacioncovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19psychology[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mvhcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
michigancoronaviruslawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19calculator[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19responsepod[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pointofcaretestcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19cbts[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
howtohealcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19sanity[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19medsupply[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19epidemiology[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19guitars[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19lawforbusiness[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19socialcaring[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-challenge[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19infos[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19helptools[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19cleaningsanitizingsevicesnashville[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19normality[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19helpers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19guidance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19coverage[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19qc[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
lawancovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19collection[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19insurances[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19homecareupdates[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19festival[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusesmasks[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-india[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19healthinsurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19healthcarejobs[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19ga[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19njgov[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19essentialsupplies[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19normality[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-essentials[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusmichiganlawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19cocktailhour[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19collection[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19protectivegear[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusface[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusnomundo[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruslegalsolutions[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-coronavirus-vaccine[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-n95mask[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19herb[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19contacts[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-livetracker[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-justsavelives[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-gear[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19experience[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19michiganlawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-live-news[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19edu[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19filmfestival[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19lifestyle[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19protectiongear[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19settlements[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19medicalsupply[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19loneliness[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-home-test-kits[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusmaptips[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
crookedcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19quarantineporn[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19tools[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19sup[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19subsidy[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19decals[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
forumcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
newyorkcovid19lawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
racecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
curesforthecoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
dearcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-test-supply[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mycoronavirusdiaries[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
newyorkcoronaviruslawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
news-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19solutionsnow[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pointofcarecovid19test[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-uk-relieve[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
hometestingkitcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19star[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19businesssupport[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19manufacturing[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19act[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19credit[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
creativeinthetimeofcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-marketopportunities[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19thoughts[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19stays[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-update1[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19illinoislawers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pulsecovid19insurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-students[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19notify[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mycoronavirusinsurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
evapharma-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pulsecoronavirusinsurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
letsdefeatcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19altmed[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19statusnow[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
fastcovid19test[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19maroc[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
fooglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19officecleaningservices[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
detectarcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
news-covid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
