INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
covid19science[.]news,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-you[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-vaccine[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19carrier[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
selfhelpcovid19[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
scalacovid19collaboration[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ne-covid-19[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19beer[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusbilgi[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-v-mire[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vaccinecovid19[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19staysafe[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-statistics[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-mos[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anti-covid[.]sk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19pot[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
all-united-vs-covid19[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
chillcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
predcovid19[.]online,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19battle[.]se,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
spokanecovid19[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anticovid19coin[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19[.]webcam,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-info[.]sk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19insurance[.]online,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19faqs[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusimpact[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
fvckcovid19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
stopcovid[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19illinoislawers[.]online,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusnoticias[.]uno,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus19lawfor[.]trade,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19donations[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
countrywidecoronavirusfogging[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19ss[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19safejob[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
all-united-vs-covid19[.]tech,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
